reference,prediction
Eşq şeirlərindən əlavə din və təsəvvüf ilə bağlı şeirləri də vardır.," Eşk şiirlərindən ələvə, din və tə səvüf ilə bağlı şiirləri də vardır."
Orta məktəbi bitirdikdən sonra Ukraynanın Lvov şəhərində hərbi xidmətdə olmuşdur., Orta məktəbdə bitirdikdən sonra Ukraynanlı nübov şəhərində hərbi xidmətdə olmuşdur.
Hal hazırda Xəzər kanalında prodüser olaraq işinə davam edir., Hal-hazırda Xəzər kanalında prodüsor olaraq işinə davam edir.
Təpə Antarktidada yerləşən Start burnunun adını daşıyır., Təpək Antarktidada yerləşən Start kurulumun adını daşıyır.
Lənkəran şəhərində dəfn olunub., Lənkənon şəhərində dəfno.
Onların qalıqlarına Çin və Özbəkistan ərazilərində aşkarlanmışdır., Onların qalqılarına Çin və Özbəkistan ərazilərinə şəkərlilik çıxarır.
Ətrafdakı ərazilərlə müqayisədə dumanlı və qar örtüyü olan günlərin sayı daha çoxdur., Ətrafdakı ərazidələ müqayisədə dumanı və qar rühtü olan günlərin sayı daha çoxdur.
Yeni Azərbaycan Partiyasının fəal üzvüdür., Yeni Azərbaycan partiyasının feala zürdür.
Qədim alban tarixinin izləri bu ərazidə bir çox yerlərdə var., Fədin Alban tarixini izlədik. Ənizdə bir çox yerlərə bax.
Kəndin yerində müasir qəsəbənin inşası planlaşdırılırdı., Kəndin yerində müasir qəsəbənin inşası planləşdirilirdi.
Sakinlər tarixi abidələrə çox həssaslıqla yanaşırlar., Takinlər tarixi abidələrə çox həssaslığa yanaşılır.
Rusiyaya qayıtdıqdan sonra teatr və kino sahəsində çalışmışdır., Rusiya qayıtlıqdan sonra teatr və kino səhvində çalışmışdır.
Papanın xahişini qəbul edən Attila geri döndü., Qapanın xaricini qəbul edən Atilla geri döndü.
İdman həyatı başa çatdıqdan sonra Torpe ailəsini saxlamaq üçün çalışmışdır., İdman həyatı paraçatdıqdan sonra Torpe ailəsini saxlamaq üçün çalışmışdır.
Jurnalistlər hekayələrinin əyləncəli hala gəlməsinə səbəb olan müəyyən bir məsələdə faktlar ata bilərlər., Jurnalistlər hekayələrinin əyləncəli hala gəlməsinə səbəb olan müəyyən bir məsələdə faktor ata bilərlər.
Onu Ran Min adlı qardaşlığı öldürmüşdü., Onuram min adı qardaşlığı öldürmüşdü.
Yarada iki əsas dəyişiklik baş verir., Yarada iki səs dəyişiklik baş verir.
Komsomol gölü yaxınlığında yerləşən mərkəzdən kifayət qədər aralıda yerləşir., Qamsımol gölü yaxınlığında yerləşən mərkəzdən kifayət qədər aralı yerləşir.
Film iki seriyadan ibarətdir., Film 2 seriyadan ibarətdir.
Bunun səbəbləri müxtəlifdir., Bunun səbəbləri müxtəlifdir.
Bəyazid taxta keçdikdən sonra İshaq Paşanı yenidən sədrəzəm seçdi., Bəyazid taxtı kestikdən sonra Hisaq paşanı yenidən Sıdrazəm seçdi.
Salar təxəllüsü ilə ruh aləminə uyğun şeirlər yazırdı., Salar təxəllüsü ilə ruhu aləminə uyğun şeirlər yazırdı.
Cavabında kazaklar narazı şəxsləri quyuya ataraq öldürdülər., Cəvabında qazəqlər narazı şəxsləri qıyıya ataraq öldürdülər.
Netflix nədir?, NETFLİX SNƏDƏR
Müsabiqədən sonra onu artıq hamı tanımağa başlayır., müsabiqədən sonra onu artıq hamı tanımağa başlayır.
İnsanlar və heyvanların bitkilərlə zəhərlənməsi müxtəlif səbəblərdən baş verə bilər., İnsanlar və heyvanların bitkilərlə zəhərlənməsi müxtəlif səhəblərdən baş verə bilər.
Həmin il Yaponiya Misirin müstəqilliyini tanımışdır., Həmin il Yaponiya-Mesirin müstəqilliyini tanımışdır.
Beş uşaq atası idi., 5 uşaq atası idi.
Film Türkiyə yazıçısı Nazim Hikmətin eyniadlı əsərinin motivləri əsasında yaradılmışdır., Film Türkiyə yazıcısı Nazim Hikmətin yeni adlı əsərinin motivləri əsasında yaradılmışdır.
Yuxarı axarlarda bataqlaşmış ərazidən axır və suyu dayaz olur., Yuxarı axarlarda bataqlaşmış ərazidən axır və suyu dayaz olur.
Ölkə ərazisindən axan Niger çayının adı ilə adlanır., Ölçə ərazisində axan Niger tayının adı ilə adlanır.
Elə orta məktəbi də həmin kənddə bitirib., Elə orta məktəbi də həmin çətdən bitirib.
Daha sonra həmin məktəbin direktoru olur., Daha sonra həmin məktəbin direktoru olur.
Atası qızına mükəmməl təhsil vermək arzusunda idi., Atası qızına mükəmmil təhsil vermək arzusundaydı.
Turizm qoruq ətrafındakı bütün ərazilərin inkişafının əsas sahəsidir., Turizm koruq ətrafındakı bütün ərazilər inkişafının əsas sahəsidir.
Hər yeddi ildən bir keçirilir., Hər yetdi eldən bir çətirilir.
Qrup artıq fəaliyyətini dayandırmışdır., Qrup artıq fəyyəliyyətini dayandırmışdır.
İyunun əvvəlində çiçəkləyir., İyunın əvvəlində çiçəkləyir.
Bundan sonra isə körpü bərpa edilməmişdir., Bundan sonra isə çörüp-ü pərpə edilməmişdir.
Dinozavrlar arasında ən uzun boyuna malik imiş., Dinazarvırda arasında ən uzun boyuna mal içmiş.
Qurultayda Azərbaycanın bütün bölgələrini və tədris müəssisələrini təmsil edən nümayəndələr iştirak edirdilər., Qurultayda Azərbaycanın bütün bölclərini və tədris məhsələrini təmsil edən nümayənlər eşitirək edirdilər.
Ölkə müsabiqədə iştirak etdiyi illər ərzində heç vaxt qalib olmamışdır., Ölkə müsabiyyədə iştirak etdiyi illər ərsində heç vaxt qalib olmamışdır.
Ortada qalan meydançanın iki tərəfini tağlar və onların arxasında yerləşən otaqlar təşkil edir., Ortada qalan meydançanın iki tərəfini tağlar və onların arasında yerləşən otaqlar təşkil edir.
Dəmirçilər Tərtər rayonunun eyniadlı inzibati ərazi vahidində kənd., Dəmirçilər Tərtən rayonunun eyni adlı inzibati ərasi vaadində kənd.
Mağaraların girəcəyində aşkar edilmiş mədəni təbəqə qalıqları onların qədim insan məskənləri olduğunu göstərir., Mağaraların girəcəyində aşkar edilmiş mədəni təbəqə qalıqları onların qədim insan məskənləri olduğunu göstərir.
İlk işi Şabran şəhərini ələ keçirmək oldu., İlk kişi Şabran şəhərini ələ keçirmək oldu.
Əli Amir uşaq yaşlarında ailəsi ilə birlikdə İsrailə köç edib., Əli Amir uşaq yaşlarında ailəsi ilə birlikdə İsrailə köç edib.
Kanalda İngilis və İspan dillərdə proqramlar nümayiş olunur., Kanalda ingiliz və ispan dillərdə proqramlar nümayiş olunur.
Təhsilini davam etdirmək istəsə də mümkün olmayıb., Təhsilini qavam etdirmək istəsə də mümkün olmayıb.
Cənubi Koreyada., Canubi xorayada
Müxtəlif illərdə fərqli sahələrdə iş fəaliyyətinə başlayır., Müxtəlif illərdə fərqli sahələrdə iş fəaliyyətinə başlayır.
Kolbasa tam və ya doğranmış şəkildə servis edilir., Qalbasa tam və ya doğranmış şəkildə servis edilir.
Çar ordusunda zabit kimi xidmət etmişdi., Çar ordusunda zabit kimi xidmət etmişdi.
Adada göl yoxdur., Adada göl yoxdur.
Bayraq mərasimi himnin sonu və cavabdeh müəllimin əmri ilə başa çatır., Bayraq məlasimi imnin sonu və tevabudik müəllimin əmri ilə başa çatır.
Orta əsrlərdə geniş yayılmış bu oyun klassik ədəbiyyatımızın nümunələrindən də bəllidir., Orta əsrlərdə geniş yayılmış bu oyun klasik ədəbiyyatımızın nümunələrindən də bəllidir.
"İngiltərədə nəşr edilmiş bu ""Divan""da məhəbbət lirikası üstünlük təşkil edirdi.", İngiltərədə nəşr edilmiş bu divanda məhəbbət lirikası üstünlük təşkil edirdi.
Gürcüstan hökumət qüvvələri tez bir zamanda Abxaziyanın böyük bir hissəsinə nəzarəti bərpa etdi., Kürkistan hökumət qüvvələri tez bir zamanda Abxalianlıq böyük bir hissəsinə nəzarəti bərpa etdi.
"Bundan başqa Xızır Nəbi ""Aşıq Qərib"" dastanının Azərbaycan versiyasının qəhrəmanıdır.", Bundan başqa Xızır nəbi Aşık Qəribdastanının Azərbaycan versiyasının qəhrəmandır.
Hindistanla Rusiya arasındakı strateji tərəfdaşlıq beş sahəni əhatə edir., İndistanla Rusiya arasında strategi tərəfdaşlıq 5 sahəni əhatə edir.
Qəsəbə adını oradakı eyniadlı çayın adından almışdır., Qəsəbə adını oradakı eyni adlı çayın adından almışdır.
Lena çayın sağ sahilində yerləşir., Lena çən sağ sahilində yerləşir.
Ağstafa rayonunun Muğanlı kəndində dəfn olunub., Axstafar ayonunun uğanlı kəndində dəfn olunub.
Bir oğul övladı var., Pirəhol Əvladılar
Əsasən qar suları və yeraltı sularla qidalanır.," Əsasən, qar suları və yer altı sularla qida ağır."
Humanizm tərəfdarı deyildi., Humanizm tərəqdar edirdi.
Əsasən dağlıq ərazidir.," Əsasən, dağlıq ərazidir."
İmişli şəhərində dəfn olunub., İmişlik şəhərində dəfin olunub.
Həmin dövrdən indiyədək Heydər Əliyev adına Saraya ləyaqətlə rəhbərlik edir.," Əmin dövrdən indiyana dək, Heydar Ali Vadnassaraya ləyəqətlə rəhbərliyidir."
Hər iki xəstəliyi aradan qaldıra bildi., Hər iki xəstəliyi aradan qaldıra bildi.
Şəhər alim və ixtiraçı Nikola Teslanın doğulduğu yerdir., Şəhər alim və ixtiradlı Nikola Teslanın doğulduğu yerdir.
Və Braziliyanın ən böyük futbol klublarından biri hesab olunur., və Brazilyanın ən böyük fotbol klublarından biri hesab olunur.
Hazırda xarabalıqları qalır., Hazırda xarabalıqlar qalır.
Daun sindromu ilə doğulan uşaqlarla erkən məşğul olmaq lazımdır., Down sindromi ilə doğulan şaxlarla erkən məşğul olmaq lazımdır.
Salyan rayonunun Sarvan inzibati ərazi vahidində kənd., Salyan rayonunun Sarban İncibati ərazi vahidində kiandı.
Şaxtalı aylarda sahil ərazilər donur., Şəxtalı aylarda sahil ərazilər donur.
Siyasi mövzularda bir neçə kitabın müəllifidir., Siyasi mövzularda bir neçə kitabın müəllifləridir.
İon kristallarda meydana gəlir., İon kristallarda meydana gelir.
Göl Balıqçılıq üçün əlverişlidir., Qöy balıqsızlıq üçün əlverislidir.
Şuşada doktor Mirzə Hüseyn bəy kimi tanınırdı., ŞÜŞADA DOKTOR MİRZƏ HÜSEYİN BƏY KİMI TANINIRDA?
Bir müddət kikboksinq və futbol ilə məşğul oldu.," Bir müddət ki, boxsingin və fotboll ilə məşğul oldu."
Uzun qara geyimləri və quru bir atı vardır., Uzun qara geyimləri və quru bir at vardır.
Bütün işlər barışıq hakimi tərəfindən təkbaşına həll edilirdi.," Bütün müşlər qarışıq, hakimi tərəfindən tək başına həll edilirdi."
Komanda yoldaşları bunun Oliverin mübarizə aparmaq üsulu olduğunu düşünürlər., Komanda yoldaşları bunun qolverim və bazarı aparmaq usulü olduğunu düşünürlər.
Nuri bəy bu ilk cəhdindən böyük qazanc əldə etdi., Nuru bəy bu ilk cəhdindən böyük qazınç əldədir.
Qurdlar camaatının bir tirəsinin adı idi., Qurdular cəmatın bir tərəsinin adı idi.
Saray kompleksi İran Mədəni İrs Təşkilatı tərəfindən idarə olunur., Saray kompleksi İran Mədəni İVS təşkilatı tərəfindən idarə olunur.
Vətən müharibəsi başlayır., Vətən müharibəsi başlayır
Virus qaraciyərdə və qanda tapılar., Virus qaraciərdə və qanda taplar.
Ərazisində çöl bitkiləri üstünlük təşkil edir., Ərazisində çöl bitkiləri üstünlük təşkil edir.
Hərbi xidmətini başa vurduqdan sonra Abbasov Mingəçevir şəhərində elektrik quraşdırma idarəsində çalışıb.," Hərbi xidmətini başa vurduqdan sonra Abbasov, Mingəçəvir şəhərində elektrik quraşdırma idarəsində çalışıb."
Günəş Yerə ən yaxın ulduzdur., Günəş yeri ən yaxın ulduzdur.
Elşən Salayev Vətən Müharibəsində qəhrəmancasına şəhid olmuşdur., Enşen Salayev mətən müharibəsində qəhrəmancasına şəhid olmuşdur.
Quyruğu qısa olur., Quyruğu qısa olur.
Mahmud ailənin yeganə oğul övladı olmuşdur., Mahmud ailənin yegani oğul evladı olmuşdur.
Kənd təsərrüfatı ərazilərinin boz meşə və açıq boz torpaqlar təşkil edir., Kənd təsarrufatı ərazilərinin bozməşqi və açıq topraqlar təşkil edir.
Bunlara ilk növbədə təbii şəraitdə baş verən proseslər üzərində fasiləsiz müşahidələrin aparılması aiddir., Bunlara ilk növbətə təbii şəraitdə baş verən proseslər üzərində fəsidasız müşahidələrin aparılması aiddir.
İndi həmin qədim yolla dəmir yolu xətti çəkilmişdir., İndi həmin qədim yolla dəmir yolu xətti çəkilmişdir.
Böyük İskəndərin çatdığı ən son bölgə olduğu təxmin edilir., Böyük İskəndərin çatdığı ən son bölgə olduğu təxmin edilir.
İlk boyu şaxta müşahidə edilir., İlboyuşaqda müşahidə edilir.
Qalaktika topaları qalaktikalar daxilindəki ulduz quruluşları olan ulduz topaları ilə qarışdırılmamalıdır., Qalaqtika topları qalaqtikalar daxilindəki ulduz quruşları olan ulduz sopaları ilə qarışdırılmamalıdır.
Avropanın ticarətlə məşğul olan dairələri Yaxın Şərqdəki mühüm strateji məntəqələri əldə etməkdə maraqlı idilər., Avropanın ticarətlə məşğul olan dairələri yaxın şərtdəki mühüm strategi məntiqələri əldə etməkdə maraqlı idilər.
Bir neçə il sonra ölkəsinə geri dönməsinə icazə verildi., Bir neçə il sonra ölkəsində geri dönməsinə icazə verildi.
Kəndin adı onun coğrafi mövqeyini əks etdirir., Kəndin adı onun zorlatma özü ilə xiş etdirir.
London işçi ailəsindən gəlirdi., London İşçi Ailəsindən gəlirdi.
Hər ikisi sağda olan alay geri çəkilməyə başladı., Hər ikisi sağda olan ağa geri çəkilməyə başladı.
Öz zəhməti ilə Fransızca öyrəndi., Öz zəhməti ilə fransızı öyrəndi.
Atası Qustav oğlunu futbolçu kimi görmək istəyirdi., Atası Kustab oğlunu vıdvoltaçı kimi görmək istəyirdi.
Şəhərin mərkəzi hissəsi Perl çayının sağ sahilində yerləşir., Şəhərin məlçəsi hissəsi Pelin sayının sax sayında eyləşir.
Buna görə rayonu bir neçə hissəyə bölmək məcburi olmuşdu.," Ona görə, əyəni bir neçə hiss edə bilmək nəcbəri olmuşdu."
Bu teatrın əsas vəzifəsi fəhlələr və kasıblar arasında bolşevik təbliğatı aparmaq olmuşdur., Bu teatrin əsas ilə içərisi qahqədər və kəsifər arasında bol şey viktəyabrıqata aparmaq olmuşdur.
Təlim mərkəzlərindən birinə edilən sirli hücumun ardından iki ən yaxşı döyüşçü tədqiqata başlayır., Təlim məkəzlərindən birinə edilən sirli hücumun ardından iki ən yaxşı döyüsü tədqiqata başlayır.
Orta təhsilini Ağdam rayonunda alıb., Orta təhsilini Ağdam rayonunda alıb.
Estetik mənada konkret təbiət gözəllikləri ümumən yenə gözəl bir qadınla birlikdə təqdim edilir., Estetik mənada konkret təbiət güzellikləri ümumiyyən yenə güzəl bir qadınla bildikdə təqdim edilir.
Strabon özünün məşhur Tarix əsərində də Abxaziya ərazisi və orada yaşayan xalqlar barədə yazmışdı., Starbun özünün məşhur tarix əsərində Abxazi ərazisi və orada yaşayan xalqlar barədə yazmışdı.
Sovet mədəniyyət və incəsənət nümayəndə heyətinin tərkibində Amerika və Afrika ölkələrində olmuşdur., Sovet mədəniyyət və incəsanət dünyayəndə həyatının təcibində Amerika və Afrika ölçələrində olunmuşdu.
Diplomunu aldığı zaman casusluq vəzifəsinin hissəsi olan bir əmr altında Moskvanı tərk etdi., Diplomunu aldığı zaman casusluq vəzifəsinin hissəsi olan bir əmr altında Moskvanı tərk etdi.
Alimin rəhbərliyi ilə onlarla elmlər namizədi hazırlanmışdır., Aləmin rəhbərdiyi ilə onlarla filmlər namizədə hazırlanmışdır.
Körpünün yerləşdiyi Qarabağ məhəlləsi Zəngəzur mahalından qaçıb bura gələnlərin adı ilə adlanıb., Köpünün yerləşdiyi qarabağ məhəlləsi Zəncüzül məhalindən qaçıb bura gələnlərin adı ilə adlanıb.
Çimərlik ərazidə Kanadanın ən uzun hovuzu yerləşir., Timirlik ərazidə Kanadanın ən uzun povzu yerləşir.
Çünki o yoxdur., Sünki o yoxdur.
Bəzi televiziya sənədli filmlərinin məsləhətçisi idi., Bəzi televiziya sənətli filmlərinin məsləhətçisidir.
Göldə mülayim iqlim şəraiti hökm sürür.," Küldüm, löyyim, ilim, şərait, hükum, süzür."
Goranboy rayonu Fəxralı kənd tam orta məktəbi şəhid Teymur Sadıqovun adını daşıyır., Coranbayıloyanın Fəxralı kənttomotorma kitəbi şəhit Teymür Salıqovun adına daşıyır.
Rəhbərlik öz siyasətində və iqtisadiyyatında dəyişikliklər tələb etdi., Rəhbərlik öz siyasətində və iqtisadatında dəyişikliklər tələb etdi.
Sadalanan üsullardan savayı ermənilər Vaşinqtonda təsir qrupları da yaratmağa nail olurlar., Sədalanan üsullardan Savai ərmənilər başqa da təsir qrupları yaratmağa naid olurlar.
